Exon	DifferentialExonScore	TumorScore	NormalScore	TumorGreaterThansNormalFlag	HighTumorCount	HighNormal	NumGTEx1stQuartile	NumGTEx2ndQuartile	NumGTEx3rdQuartile	NumGTEx4thQuartile	NumDisease1stQuartile	NumDisease2ndQuartile	NumDisease3rdQuartile	NumDisease4thQuartile	GTEx1stQuartile	GTEx2ndQuartile	GTEx3rdQuartile	GTEx4thQuartile	Disease1stQuartile	Disease2ndQuartile	Disease3rdQuartile	Disease4thQuartile	GeneSymbol	Matrisome	Surfaceome	SharedSurfaceMatrisome	CheckDE	CheckSignificant	Gene	AS_Flag	SigExonMaxProp	SigExonMinProp	SigExonPropFlag	ExonSplicingAnnotation	ExonAPRISAnnotation	HighNormalExonProp>0.3_Flag	HighRiskTumorNormalMatch	CheckForHighIHCNormalFlag	CheckForHighMediumInBrain	CheckForExonCoverageBias	IHC_AboveIntermediate(Exclude Testis Ovary)	BoneMarrowHigh	HighProteomicsHitInGTExForGene	LowRiskTumorNormalPair	ExcludeTestisOvaryRNAExpr	OncogeneTumorSuppressors	FinalPrioritization	Surfaceome	Matrisome	SharedSurfaceMatrisome	TargetExon
NCAN_chr19_19234983_19235096_+	626.5008992822239	0.5625	0.06666666666666667	true	3	1	29	0	1	0	12	1	1	2	Heart,Testis,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,		Brain,		EWS,RB,ST,DSRCT,ACT,BT,OS,MEL,CPC,NBL,WLM,RHB,	MB,	EPD,	HGG,LGG,	NCAN	true	false	false	true	true	NCAN	Gene	1.0	0.9333333333333333	false	Canonical	PRINCIPAL	true	true	true	true	false	true	false	true	false	true	NA	Not Prioritized	false	true	false	false
ENPP1_chr6_131849999_131850106_+	160.33081055663686	0.125	0.03333333333333333	true	1	0	29	1	0	0	15	0	1	0	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Uterus,			ST,OS,HGG,RHB,LGG,RB,DSRCT,ACT,BT,MEL,MB,CPC,EPD,NBL,WLM,		EWS,	NA	ENPP1	true	true	true	true	true	ENPP1	Gene	0.8571428571428571	0.25	false	Canonical	NA	false	false	false	false	false	true	false	true	false	true	NA	Tier 2	true	true	true	false
BCAN_chr1_156648568_156648798_+	615.3175150553695	0.5625	0.1	true	3	1	29	0	0	1	13	0	0	3	Heart,Testis,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,			Brain,	EWS,ST,OS,RHB,RB,DSRCT,ACT,BT,MEL,MB,CPC,NBL,WLM,			EPD,HGG,LGG,	BCAN	true	false	false	true	true	BCAN	Gene	1.0	0.75	false	Canonical	NA	true	true	true	true	true	true	false	true	false	true	NA	Not Prioritized	false	true	false	false
WIF1_chr12_65068764_65068904_-	29.14962196289418	0.1875	0.1	true	1	1	28	1	1	0	14	1	1	0	Heart,Testis,Fallopian_Tube,Liver,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Lung,	Brain,		EWS,ST,OS,HGG,RHB,LGG,DSRCT,ACT,MEL,MB,CPC,EPD,NBL,WLM,	BT,	RB,	NA	WIF1	true	false	false	true	true	WIF1	Gene	0.75	0.4	false	Canonical	PRINCIPAL	true	true	false	false	false	false	false	false	false	true	NA	Not Prioritized	false	true	false	false
LRP8_chr1_53262446_53262564_-	447.5009347276443	0.4375	0.1	true	1	1	28	1	1	0	11	4	0	1	Heart,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Thyroid,	Testis,		EWS,ST,DSRCT,ACT,BT,OS,MEL,EPD,NBL,WLM,RHB,	RB,CPC,HGG,LGG,		MB,	LRP8	false	true	false	true	true	LRP8	Gene	1.0	0.3333333333333333	false	Canonical	PRINCIPAL	false	false	false	false	false	false	true	false	false	true	NA	Tier 2	true	false	false	false
COL9A1_chr6_70241964_70242035_-	349.1305299770312	0.625	0.06666666666666667	true	3	0	28	2	0	0	11	2	1	2	Heart,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Testis,Brain,			EWS,ST,DSRCT,ACT,BT,OS,MEL,MB,EPD,NBL,RHB,	HGG,WLM,	CPC,	RB,LGG,	COL9A1	true	false	false	true	true	COL9A1	Gene	1.0	0.2727272727272727	false	Canonical	PRINCIPAL	false	false	false	false	false	true	false	false	false	false	NA	Tier1	false	true	false	false
ATRN_chr20_3535253_3535336_+	488.2941455726529	0.875	0.03333333333333333	true	2	0	29	1	0	0	4	10	2	0	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Adrenal_Gland,			ACT,CPC,NBL,WLM,	RB,ST,DSRCT,OS,MEL,MB,EPD,HGG,RHB,LGG,	EWS,BT,	NA	ATRN	true	true	true	true	true	ATRN	Gene	0.68	0.6206896551724138	false	Canonical	PRINCIPAL	false	false	false	false	false	true	false	true	true	true	NA	Not Prioritized	true	true	true	false
IGF2R_chr6_160064401_160064531_+	624.0537111112903	1.8125	0.7333333333333333	true	11	1	9	20	1	0	1	4	8	3	Heart,Testis,Nerve,Brain,Liver,Pituitary,Pancreas,Prostate,Kidney,	Spleen,Stomach,Fallopian_Tube,Lung,Bladder,Vagina,Cervix_Uteri,Blood_Vessel,Blood,Esophagus,Ovary,Small_Intestine,Uterus,Salivary_Gland,Adipose_Tissue,Breast,Adrenal_Gland,Skin,Colon,Thyroid,	Muscle,		NBL,	CPC,EPD,WLM,LGG,	RB,DSRCT,BT,OS,MEL,MB,HGG,RHB,	EWS,ST,ACT,	IGF2R	true	false	false	true	true	IGF2R	Gene	0.6666666666666666	0.4583333333333333	false	Canonical	PRINCIPAL	false	false	true	true	false	true	false	true	true	true	NA	Not Prioritized	true	true	true	false
ITGAV_chr2_186651982_186652089_+	547.6101733820163	2.125	0.5333333333333333	true	13	1	15	14	1	0	2	1	6	7	Testis,Spleen,Brain,Stomach,Liver,Vagina,Blood,Kidney,Esophagus,Small_Intestine,Pituitary,Muscle,Colon,Pancreas,Prostate,	Heart,Fallopian_Tube,Lung,Bladder,Cervix_Uteri,Nerve,Ovary,Uterus,Salivary_Gland,Adipose_Tissue,Breast,Adrenal_Gland,Skin,Thyroid,	Blood_Vessel,		NBL,WLM,	EPD,	RB,ACT,OS,MB,CPC,RHB,	EWS,ST,DSRCT,BT,MEL,HGG,LGG,	ITGAV	true	true	true	true	true	ITGAV	Gene	1.0	0.25	false	Canonical	PRINCIPAL	false	false	false	true	false	true	true	true	true	true	NA	Tier 2	true	true	true	false
MMP11_chr22_23780582_23780715_+	645.3868530462289	0.6875	0.06666666666666667	true	3	0	28	2	0	0	8	5	3	0	Heart,Brain,Fallopian_Tube,Liver,Lung,Bladder,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Testis,Cervix_Uteri,			RB,DSRCT,ACT,BT,CPC,EPD,HGG,LGG,	EWS,ST,MEL,MB,NBL,	OS,WLM,RHB,	NA	MMP11	true	false	false	true	true	MMP11	Gene	0.5	0.25	false	Canonical	PRINCIPAL	false	false	false	false	false	true	true	false	false	false	NA	Tier 2	false	true	false	false
DLK1_chr14_100732044_100732184_+	295.40998551640826	0.5625	0.43333333333333335	true	3	4	25	1	0	4	12	1	1	2	Heart,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Uterus,Muscle,Colon,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Breast,Skin,Prostate,	Pancreas,		Testis,Ovary,Pituitary,Adrenal_Gland,	EWS,RB,ST,DSRCT,BT,OS,MEL,MB,CPC,EPD,HGG,LGG,	WLM,	NBL,	ACT,RHB,	DLK1	true	true	true	true	true	DLK1	Gene	1.0	0.6	false	Missing_in_annotated_transcripts	NA	true	false	false	false	false	true	false	false	true	true	NA	Tier 2	true	true	true	false
NTM_chr11_132335046_132335286_+	473.7691081594051	0.5	0.13333333333333333	true	3	1	27	2	1	0	12	1	2	1	Heart,Testis,Fallopian_Tube,Liver,Bladder,Cervix_Uteri,Blood,Kidney,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Nerve,Lung,	Brain,		EWS,ST,DSRCT,ACT,BT,OS,MEL,MB,CPC,NBL,WLM,RHB,	RB,	EPD,HGG,	LGG,	NTM	false	true	false	true	true	NTM	Gene	1.0	0.3333333333333333	false	Missing_in_annotated_transcripts	NA	false	true	true	true	false	true	false	true	false	true	NA	Not Prioritized	true	false	false	false
ADAM19_chr5_157491615_157491723_-	278.95127019725174	0.375	0.13333333333333333	true	1	0	26	4	0	0	11	4	1	0	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Pancreas,Thyroid,Stomach,Vagina,Blood_Vessel,Esophagus,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Spleen,Small_Intestine,Bladder,Colon,			EWS,DSRCT,ACT,BT,MEL,MB,CPC,EPD,HGG,WLM,LGG,	ST,OS,NBL,RHB,	RB,	NA	ADAM19	true	true	true	true	true	ADAM19	Gene	0.6818181818181818	0.5	false	Canonical	PRINCIPAL	false	false	false	false	false	false	true	false	false	true	NA	Tier 2	true	true	true	false
FBN1_chr15_48494204_48494254_-	405.89144415828264	0.5625	0.13333333333333333	true	2	0	26	4	0	0	9	5	2	0	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Esophagus,Small_Intestine,Salivary_Gland,Pituitary,Breast,Skin,Prostate,	Nerve,Ovary,Adipose_Tissue,Blood_Vessel,			RB,ACT,MB,CPC,EPD,HGG,NBL,WLM,LGG,	EWS,BT,OS,MEL,RHB,	ST,DSRCT,	NA	FBN1	true	false	false	true	true	FBN1	Gene	0.6212121212121212	0.2	true	Canonical	PRINCIPAL	false	false	false	false	false	true	true	true	false	true	NA	Tier 2	false	true	false	false
NPTX2_chr7_98624922_98625166_+	200.4213077491476	0.625	0.23333333333333334	true	3	3	27	0	2	1	10	3	2	1	Heart,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Breast,Skin,Prostate,		Testis,Adrenal_Gland,	Pituitary,	EWS,ST,DSRCT,BT,OS,MEL,EPD,HGG,NBL,RHB,	RB,CPC,WLM,	MB,LGG,	ACT,	NPTX2	false	true	false	true	true	NPTX2	Gene	1.0	1.0	false	Canonical	PRINCIPAL	true	false	true	false	false	true	false	true	true	true	NA	Tier 2	true	false	false	true
PROM1_chr4_16000496_16000619_-	214.0173724255696	0.5	0.16666666666666666	true	2	1	27	2	0	1	11	3	1	1	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Small_Intestine,Kidney,		Salivary_Gland,	EWS,ST,DSRCT,ACT,BT,OS,MEL,MB,NBL,WLM,LGG,	EPD,HGG,RHB,	CPC,	RB,	PROM1	true	true	true	true	true	PROM1	Gene	1.0	0.25	false	Canonical	PRINCIPAL	false	false	false	false	false	true	false	true	false	true	NA	Tier 2	true	true	true	false
MMP9_chr20_46010923_46011048_+	312.7061132238604	0.3125	0.23333333333333334	true	1	2	27	1	0	2	13	2	0	1	Heart,Testis,Brain,Fallopian_Tube,Liver,Bladder,Cervix_Uteri,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Lung,		Spleen,Blood,	EWS,HGG,RHB,LGG,RB,DSRCT,ACT,BT,MEL,MB,CPC,EPD,WLM,	ST,NBL,		OS,	MMP9	true	false	false	true	true	MMP9	Gene	1.0	1.0	false	Canonical	NA	false	false	false	false	false	true	true	true	false	true	NA	Tier 2	false	true	false	false
SEMA3A_chr7_84005339_84005558_-	152.66185438103224	0.125	0.0	true	1	0	30	0	0	0	15	0	1	0	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,				EWS,ST,OS,HGG,RHB,LGG,RB,DSRCT,ACT,BT,MEL,CPC,EPD,NBL,WLM,		MB,	NA	SEMA3A	false	true	false	true	true	SEMA3A	Gene	0.8235294117647058	0.2	true	Canonical	PRINCIPAL	false	false	false	false	false	false	false	false	false	false	NA	Tier1	true	false	false	false
CEP55_chr10_93503113_93503388_+	305.2590937851408	0.25	0.03333333333333333	true	1	0	29	1	0	0	13	2	1	0	Heart,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Testis,			EWS,ST,OS,HGG,LGG,DSRCT,ACT,BT,MEL,MB,CPC,EPD,NBL,	WLM,RHB,	RB,	NA	CEP55	false	true	false	true	true	CEP55	Gene	1.0	0.6666666666666666	false	Alt_Transcript	PRINCIPAL	false	false	false	false	false	true	true	false	false	false	NA	Tier 2	true	false	false	false
ADAMTS9_chr3_64651017_64651163_-	213.4227106347498	0.375	0.1	true	2	0	27	3	0	0	12	2	2	0	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Pituitary,Skin,Prostate,	Nerve,Adipose_Tissue,Breast,			EWS,RB,DSRCT,ACT,OS,MEL,MB,CPC,NBL,WLM,RHB,LGG,	EPD,HGG,	ST,BT,	NA	ADAMTS9	true	false	false	true	true	ADAMTS9	Gene	0.3333333333333333	0.047619047619047616	true	Alt_Transcript	PRINCIPAL	false	false	false	false	false	true	false	false	false	true	NA	Not Prioritized	false	true	false	false
COL2A1_chr12_47999697_48000125_-	150.52903073537837	0.125	0.0	true	1	0	30	0	0	0	15	0	1	0	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,				EWS,ST,OS,HGG,RHB,LGG,RB,DSRCT,ACT,BT,MEL,MB,CPC,EPD,NBL,		WLM,	NA	COL2A1	true	false	false	true	true	COL2A1	Gene	1.0	0.5	false	Missing_in_annotated_transcripts	NA	false	false	false	false	false	true	false	false	false	true	NA	Tier 2	false	true	false	false
ITGA1_chr5_52864763_52864851_+	455.6465268041525	1.0625	0.5333333333333333	true	6	4	18	8	4	0	6	4	5	1	Heart,Testis,Spleen,Brain,Stomach,Liver,Vagina,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Small_Intestine,Salivary_Gland,Pituitary,Muscle,Skin,Pancreas,	Uterus,Fallopian_Tube,Adipose_Tissue,Breast,Colon,Prostate,Thyroid,Esophagus,	Lung,Bladder,Adrenal_Gland,Blood_Vessel,		OS,CPC,EPD,HGG,WLM,LGG,	RB,MB,NBL,RHB,	EWS,ST,ACT,BT,MEL,	DSRCT,	ITGA1	true	true	true	true	true	ITGA1	Gene	0.8333333333333334	0.1111111111111111	true	Canonical	PRINCIPAL	true	false	false	true	false	true	false	true	true	true	NA	Not Prioritized	true	true	true	false
