Exon	GeneName	AlternativeSplicedExon	PanExpressionScore	RepresentativeExon	Location	Tier	Expression_High_in_Normal	Expression_High_In_Tumor
MMP9_chr20_46010923_46011047_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
NTM_chr11_132307689_132307823_+	NTM	Gene	0.8125	false	SURFACEOME	Not Prioritized	Brain,	RB,BT,EPD,HGG,LGG,
COL4A5_chrX_108539746_108539805_+	COL4A5	Gene	0.5625	false	MATRISOME	Not Prioritized	Uterus,Bladder,	BT,CPC,DSRCT,
SEMA7A_chr15_74415801_74415985_-	SEMA7A	Gene	0.375	false	MATRISOME	Not Prioritized	Testis,Nerve,Spleen,	ACT,LGG,
DLK1_chr14_100732044_100732183_+	DLK1	Gene	0.5625	false	MATRISOME_SURFACEOME	Tier2	,Testis,Ovary,Pituitary,Adrenal_Gland,	NBL,ACT,RHB,
CDH11_chr16_65004673_65005041_-	CDH11	Gene	1.25	false	SURFACEOME	Tier2	Ovary,	ST,BT,OS,RHB,EWS,
ITGAV_chr2_186625473_186625587_+	ITGAV	Gene	1.8125	false	MATRISOME_SURFACEOME	Tier2		EWS,RB,MB,HGG,RHB,ST,DSRCT,BT,MEL,LGG,
COL13A1_chr10_69889414_69889440_+	COL13A1	Gene	0.25	false	MATRISOME	Tier2		DSRCT,
SEMA7A_chr15_74418268_74418309_-	SEMA7A	Gene	0.3125	false	MATRISOME	Not Prioritized	Testis,Spleen,	ACT,
LOX_chr5_122074013_122074169_-	LOX	Gene	0.6875	false	MATRISOME	Tier2	Adipose_Tissue,Breast,Skin,Blood_Vessel,	EPD,RHB,OS,
TNR_chr1_175324356_175324477_-	TNR	Gene	0.3125	false	MATRISOME	Tier2		HGG,LGG,
SEMA6A_chr5_116447688_116447811_-	SEMA6A	Gene	1.0625	false	SURFACEOME	Tier2	Testis,Brain,Small_Intestine,Lung,Adrenal_Gland,	BT,EPD,HGG,WLM,RHB,LGG,
SEMA4D_chr9_89392423_89392536_-	SEMA4D	Gene	0.75	false	SURFACEOME	Not Prioritized	Brain,Blood,Muscle,	BT,LGG,
CHRNA7_chr15_32159578_32159655_+	CHRNA7	Gene	0.3125	false	SURFACEOME	Tier1		NBL,
COL23A1_chr5_178261722_178261748_-	COL23A1	Gene	0.1875	false	MATRISOME	Tier2	,Thyroid,	,DSRCT,
SMPDL3B_chr1_27935110_27935244_+	SMPDL3B	Gene	0.1875	false	SURFACEOME	Tier2		,DSRCT,
COL2A1_chr12_47978291_47978398_-	COL2A1	Gene	0.375	false	MATRISOME	Tier2		CPC,WLM,
ASTN1_chr1_176943891_176944018_-	ASTN1	Gene	0.75	false	SURFACEOME	Tier2		HGG,DSRCT,LGG,
COL11A2_chr6_33178920_33178973_-	COL11A2	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier2	Pituitary,	OS,
INSR_chr19_7174583_7174731_-	INSR	Gene	1.25	false	SURFACEOME	Tier2	Pancreas,	EWS,ST,ACT,BT,MB,RB,
SCNN1G_chr16_23189371_23189671_+	SCNN1G	Gene	0.1875	false	SURFACEOME	Tier2		,EWS,
LOXL2_chr8_23297189_23298122_-	LOXL2	Gene	0.4375	false	MATRISOME	Tier2		OS,WLM,RHB,
RELN_chr7_103561813_103561953_-	RELN	Gene	0.1875	false	MATRISOME	Tier2		,MB,
PDGFC_chr4_156810953_156811017_-	PDGFC	Gene	1.0625	false	MATRISOME	Tier2	Uterus,Salivary_Gland,Fallopian_Tube,Adrenal_Gland,Blood_Vessel,	OS,CPC,RHB,WLM,
CDH15_chr16_89180200_89180355_+	CDH15	Gene	0.3125	false	SURFACEOME	Tier2	Muscle,	OS,RHB,
MMP9_chr20_46014123_46014271_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
OLR1_chr12_10166712_10166957_-	OLR1	Gene	0.1875	false	SURFACEOME	Tier2	Lung,	LGG,
COL12A1_chr6_75126351_75126470_-	COL12A1	Gene	0.6875	false	MATRISOME	Not Prioritized	Nerve,Ovary,Uterus,Adipose_Tissue,	ST,MEL,RHB,OS,
HMCN1_chr1_186094276_186094373_+	HMCN1	Gene	0.375	false	MATRISOME	Tier2		MEL,EWS,
DLK1_chr14_100732044_100732185_+	DLK1	Gene	0.5625	false	MATRISOME_SURFACEOME	Tier2	,Testis,Ovary,Pituitary,Adrenal_Gland,	NBL,ACT,RHB,
VWF_chr12_6065137_6065273_-	VWF	Gene	0.875	false	MATRISOME	Not Prioritized	Heart,Uterus,Lung,Adipose_Tissue,Breast,	BT,MB,HGG,
ATRN_chr20_3559393_3559483_+	ATRN	Gene	1.625	false	MATRISOME_SURFACEOME	Not Prioritized	Adrenal_Gland,	RB,ST,DSRCT,BT,MEL,MB,HGG,RHB,EWS,
PTPN11_chr12_112486475_112486923_+	PTPN11	Gene	0.8125	false	SURFACEOME	Tier2		LGG,
ITGA4_chr2_181531657_181531776_+	ITGA4	Gene	0.6875	false	MATRISOME_SURFACEOME	Tier2	Spleen,	RB,OS,
LUZP2_chr11_24729140_24729286_+	LUZP2	Gene	0.125	false	SURFACEOME	Tier1		LGG,
PTPRZ1_chr7_122033858_122034378_+	PTPRZ1	Gene	0.625	false	MATRISOME_SURFACEOME	Not Prioritized		EPD,HGG,LGG,
ITGA6_chr2_172487264_172487453_+	ITGA6	Gene	1.0	false	MATRISOME_SURFACEOME	Tier2	Salivary_Gland,Breast,Nerve,	ST,BT,MEL,CPC,DSRCT,
LTBP1_chr2_33110582_33110751_+	LTBP1	Gene	0.375	false	MATRISOME	Not Prioritized		WLM,
COL20A1_chr20_63305417_63305556_+	COL20A1	Gene	0.5	false	MATRISOME	Tier1		HGG,DSRCT,LGG,
COL2A1_chr12_47993809_47993862_-	COL2A1	Gene	0.3125	false	MATRISOME	Tier2		,WLM,
COL9A1_chr6_70252166_70252173_-	COL9A1	Gene	0.5	false	MATRISOME	Tier1		LGG,RB,
CDH11_chr16_65004660_65005041_-	CDH11	Gene	1.25	false	SURFACEOME	Tier2	Ovary,	ST,BT,OS,RHB,EWS,
CPD_chr17_30384989_30385236_+	CPD	Gene	1.0	false	SURFACEOME	Tier2		RB,ST,BT,MEL,MB,
MERTK_chr2_111947394_111947567_+	MERTK	Gene	1.0	false	SURFACEOME	Not Prioritized	Adrenal_Gland,	EWS,BT,HGG,DSRCT,
TREM2_chr6_41159792_41159882_-	TREM2	Gene	0.5625	false	SURFACEOME	Tier1		HGG,LGG,
BCAN_chr1_156647506_156647682_+	BCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
CHL1_chr3_391675_391797_+	CHL1	Gene	0.6875	false	SURFACEOME	Tier2	Nerve,	BT,MEL,HGG,LGG,
HMCN1_chr1_186108461_186108597_+	HMCN1	Gene	0.4375	false	MATRISOME	Tier2		MEL,EWS,
CLCN3_chr4_169706868_169707266_+	CLCN3	Gene	1.8125	false	SURFACEOME	Tier2	Testis,	EWS,BT,MEL,CPC,EPD,HGG,NBL,RB,MB,LGG,
PKD1_chr16_2117791_2118462_-	PKD1	Gene	0.8125	false	SURFACEOME	Not Prioritized	Pituitary,	CPC,EPD,HGG,LGG,
ITGAX_chr16_31373249_31373390_+	ITGAX	Gene	0.3125	false	SURFACEOME	Not Prioritized	,Spleen,Lung,Blood,	LGG,
IL17RB_chr3_53852871_53852997_+	IL17RB	Gene	0.1875	false	MATRISOME_SURFACEOME	Not Prioritized	Kidney,	LGG,
THBS2_chr6_169237170_169237346_-	THBS2	Gene	0.75	false	MATRISOME	Not Prioritized	Cervix_Uteri,Blood_Vessel,	ST,DSRCT,OS,MEL,
RELN_chr7_103551067_103551296_-	RELN	Gene	0.1875	false	MATRISOME	Tier2		,MB,
CPD_chr17_30451711_30451846_+	CPD	Gene	1.9375	false	SURFACEOME	Tier2	Salivary_Gland,Testis,	EWS,DSRCT,MEL,EPD,HGG,WLM,LGG,RB,ST,BT,MB,
SEMA6A_chr5_116480122_116480240_-	SEMA6A	Gene	1.1875	false	SURFACEOME	Tier2	Adrenal_Gland,	MEL,MB,HGG,WLM,RHB,LGG,BT,
PROM1_chr4_16038946_16039001_-	PROM1	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier2	Salivary_Gland,	CPC,RB,
DBH_chr9_133657070_133657229_+	DBH	Gene	0.1875	false	SURFACEOME	Tier2	Liver,	,NBL,
FGF1_chr5_142595243_142595484_-	FGF1	Gene	0.3125	false	MATRISOME	Not Prioritized	Nerve,Brain,	HGG,LGG,
CDH2_chr18_27992655_27992840_-	CDH2	Gene	1.625	false	SURFACEOME	Tier2	Heart,Testis,Adrenal_Gland,	DSRCT,BT,OS,EPD,NBL,LGG,RB,MB,HGG,WLM,
CD4_chr12_6814759_6814842_+	CD4	Gene	0.625	false	SURFACEOME	Not Prioritized	Lung,Spleen,	OS,
MMP9_chr20_46012137_46012310_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
MMP9_chr20_46011143_46011318_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	Spleen,Blood,	,OS,
CD109_chr6_73768055_73768231_+	CD109	Gene	0.25	false	MATRISOME	Tier2		MEL,
NRG1_chr8_32595828_32596005_+	NRG1	Gene	0.25	false	MATRISOME_SURFACEOME	Tier1		,DSRCT,
LRP2_chr2_169247378_169247515_-	LRP2	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2		RB,
TFRC_chr3_196065443_196065600_-	TFRC	Gene	1.8125	false	MATRISOME_SURFACEOME	Tier2	Lung,	EWS,ST,ACT,MEL,MB,HGG,RHB,RB,DSRCT,BT,
ITGAV_chr2_186668524_186668920_+	ITGAV	Gene	1.375	false	MATRISOME_SURFACEOME	Tier2		EWS,RB,ST,DSRCT,BT,MEL,HGG,LGG,
AQP2_chr12_49954155_49954319_+	AQP2	Gene	0.125	false	SURFACEOME	Not Prioritized	,Kidney,	ACT,
CDH19_chr18_66511568_66511685_-	CDH19	Gene	0.25	true	SURFACEOME	Tier2	Heart,Nerve,	,MEL,
CDH19_chr18_66544720_66544903_-	CDH19	Gene	0.1875	false	SURFACEOME	Tier2	Nerve,	,MEL,
PTPRZ1_chr7_122013706_122013889_+	PTPRZ1	Gene	0.75	false	MATRISOME_SURFACEOME	Not Prioritized	Brain,	BT,EPD,HGG,LGG,
CPD_chr17_30438975_30439077_+	CPD	Gene	1.3125	false	SURFACEOME	Tier2	Testis,	EWS,RB,ST,DSRCT,BT,MEL,MB,WLM,
PROM1_chr4_15992248_15992391_-	PROM1	Gene	0.5	false	MATRISOME_SURFACEOME	Tier2	Salivary_Gland,	CPC,RB,
CD109_chr6_73723251_73723279_+	CD109	Gene	0.1875	false	MATRISOME	Tier2		MEL,
COL11A1_chr1_102877951_102878165_-	COL11A1	Gene	1.0	false	MATRISOME_SURFACEOME	Tier1		ACT,MEL,CPC,HGG,LGG,OS,
SULF1_chr8_69604800_69604932_+	SULF1	Gene	1.1875	false	MATRISOME	Tier2	Colon,Thyroid,Blood_Vessel,	ST,DSRCT,BT,OS,RHB,CPC,
COL9A1_chr6_70216743_70217081_-	COL9A1	Gene	0.4375	false	MATRISOME	Tier1		RB,LGG,
CD276_chr15_73708339_73708689_+	CD276	Gene	1.5	false	SURFACEOME	Tier2		ACT,OS,MEL,CPC,HGG,NBL,WLM,RHB,
MMP13_chr11_102942995_102944366_-	MMP13	Gene	0.1875	false	MATRISOME	Tier1		,OS,
MMP9_chr20_46014123_46014274_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
FRAS1_chr4_78237510_78237617_+	FRAS1	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		DSRCT,
PDPN_chr1_13583832_13584100_+	PDPN	Gene	0.5	false	SURFACEOME	Not Prioritized		BT,CPC,LGG,
GRIN1_chr9_137156976_137157037_+	GRIN1	Gene	0.125	false	SURFACEOME	Not Prioritized	,Brain,	NBL,
THBS2_chr6_169250733_169250806_-	THBS2	Gene	1.0625	false	MATRISOME	Not Prioritized	Uterus,Fallopian_Tube,Skin,Cervix_Uteri,Blood_Vessel,	ST,OS,RHB,DSRCT,MEL,
PCSK6_chr15_101393212_101393424_-	PCSK6	Gene	0.25	false	MATRISOME	Tier2	Spleen,Liver,	ACT,
NRG1_chr8_32605648_32605683_+	NRG1	Gene	0.25	false	MATRISOME_SURFACEOME	Tier1		,DSRCT,
FLT1_chr13_28384885_28385031_-	FLT1	Gene	0.125	false	MATRISOME	Not Prioritized		RB,
PXDN_chr2_1680193_1680362_-	PXDN	Gene	1.5625	false	MATRISOME_SURFACEOME	Not Prioritized		ST,BT,MB,CPC,HGG,WLM,EWS,DSRCT,RHB,
SCNN1G_chr16_23209750_23209848_+	SCNN1G	Gene	0.1875	false	SURFACEOME	Tier2	Kidney,	,EWS,
PXDN_chr2_1693063_1693134_-	PXDN	Gene	1.125	false	MATRISOME_SURFACEOME	Not Prioritized	Bladder,	EWS,DSRCT,WLM,CPC,RHB,
IGF2R_chr6_160040560_160040724_+	IGF2R	Gene	1.375	false	MATRISOME_SURFACEOME	Not Prioritized	Muscle,	EWS,RB,ST,DSRCT,ACT,BT,MEL,MB,RHB,
MMP9_chr20_46014123_46014275_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
COL20A1_chr20_63319487_63319596_+	COL20A1	Gene	0.5	false	MATRISOME	Tier1		HGG,DSRCT,LGG,
CDH11_chr16_64991343_64991935_-	CDH11	Gene	0.8125	false	SURFACEOME	Tier2	Ovary,	ST,OS,EWS,
LUZP2_chr11_24497211_24497305_+	LUZP2	Gene	0.1875	false	SURFACEOME	Tier1		LGG,
MMP9_chr20_46010923_46011049_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
PDGFC_chr4_156762948_156763206_-	PDGFC	Gene	0.9375	false	MATRISOME	Tier2	Uterus,Salivary_Gland,Fallopian_Tube,Adrenal_Gland,Blood_Vessel,	OS,CPC,WLM,RHB,
PKD1_chr16_2108252_2111871_-	PKD1	Gene	0.5625	false	SURFACEOME	Not Prioritized	Pituitary,	MB,
SEMA6D_chr15_47770497_47772882_+	SEMA6D	Gene	0.4375	false	MATRISOME_SURFACEOME	Tier1		RB,MB,
ENPP3_chr6_131740224_131740380_+	ENPP3	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier1		ACT,EWS,
PTPRZ1_chr7_122042608_122042743_+	PTPRZ1	Gene	0.9375	false	MATRISOME_SURFACEOME	Not Prioritized	,Brain,	BT,MEL,MB,EPD,HGG,LGG,
L1CAM_chrX_153864822_153864994_-	L1CAM	Gene	0.4375	false	SURFACEOME	Not Prioritized	Brain,Pituitary,Colon,Nerve,	RB,MB,NBL,
SEMA3A_chr7_84011183_84011297_-	SEMA3A	Gene	0.125	false	SURFACEOME	Tier1		MB,
MMP11_chr22_23780359_23780484_+	MMP11	Gene	0.6875	false	MATRISOME	Tier2		OS,RHB,
MMP9_chr20_46012137_46012313_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
MMP9_chr20_46011145_46011316_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	Spleen,Blood,	,OS,
L1CAM_chrX_153869520_153869663_-	L1CAM	Gene	0.5	false	SURFACEOME	Not Prioritized	Nerve,	RB,MB,NBL,
MMP9_chr20_46011574_46011745_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
LDLR_chr19_11116021_11116212_+	LDLR	Gene	0.4375	false	MATRISOME_SURFACEOME	Tier2	Lung,Adrenal_Gland,	,ACT,
ADAM17_chr2_9543153_9543285_-	ADAM17	Gene	1.375	false	MATRISOME_SURFACEOME	Tier2		EWS,ST,DSRCT,BT,MEL,MB,HGG,RB,
MMP11_chr22_23782226_23782483_+	MMP11	Gene	0.375	false	MATRISOME	Tier2		OS,
MMP9_chr20_46011143_46011315_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	Spleen,Blood,	,OS,
SEMA4D_chr9_89388636_89388726_-	SEMA4D	Gene	0.625	false	SURFACEOME	Not Prioritized	Spleen,Brain,Blood,Muscle,	LGG,
COL20A1_chr20_63312424_63312549_+	COL20A1	Gene	0.5	false	MATRISOME	Tier1		HGG,DSRCT,LGG,
AMOT_chrX_112809894_112809986_-	AMOT	Gene	0.375	false	SURFACEOME	Tier1		LGG,
NAV2_chr11_20118133_20118574_+	NAV2	Gene	0.6875	false	MATRISOME	Tier2	Blood_Vessel,Thyroid,	EPD,HGG,LGG,
LRP8_chr1_53255117_53255185_-	LRP8	Gene	0.5	false	SURFACEOME	Tier2	Brain,Thyroid,Testis,	,MB,
SCNN1G_chr16_23212837_23212894_+	SCNN1G	Gene	0.1875	false	SURFACEOME	Tier2	Kidney,	,EWS,
COL9A1_chr6_70272065_70272088_-	COL9A1	Gene	0.4375	false	MATRISOME	Tier1		RB,CPC,LGG,
HMCN1_chr1_186093486_186093669_+	HMCN1	Gene	0.375	false	MATRISOME	Tier2		MEL,EWS,
MMP9_chr20_46012137_46012314_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
COL11A2_chr6_33171464_33171571_-	COL11A2	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier2	Testis,Pituitary,	OS,
IL17RB_chr3_53851999_53852126_+	IL17RB	Gene	0.25	false	MATRISOME_SURFACEOME	Not Prioritized	Kidney,	LGG,
PDGFRA_chr4_54263667_54263773_+	PDGFRA	Gene	0.9375	false	SURFACEOME	Tier2	Uterus,Fallopian_Tube,Lung,Bladder,Ovary,	ST,BT,OS,HGG,DSRCT,LGG,
NCAN_chr19_19233789_19233905_+	NCAN	Gene	0.625	false	MATRISOME	Not Prioritized	Brain,	,EPD,HGG,LGG,
TFRC_chr3_196071396_196071498_-	TFRC	Gene	2.125	false	MATRISOME_SURFACEOME	Tier2	Ovary,Fallopian_Tube,Lung,	ST,ACT,OS,MEL,EPD,HGG,RHB,LGG,EWS,RB,DSRCT,BT,MB,
ABCA1_chr9_104791936_104791998_-	ABCA1	Gene	1.3125	false	SURFACEOME	Tier2	Adrenal_Gland,	RB,ST,BT,MEL,EPD,HGG,LGG,DSRCT,
ITIH2_chr10_7713181_7713285_+	ITIH2	Gene	0.1875	false	MATRISOME	Tier2	Liver,	,DSRCT,
ADAM10_chr15_58627700_58627883_-	ADAM10	Gene	2.375	false	MATRISOME_SURFACEOME	Tier2		ACT,OS,CPC,EPD,HGG,WLM,RHB,LGG,EWS,RB,ST,DSRCT,BT,MEL,MB,
SORL1_chr11_121543548_121543726_+	SORL1	Gene	0.875	false	SURFACEOME	Tier2		RB,LGG,DSRCT,BT,
FRAS1_chr4_78446727_78446880_+	FRAS1	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		DSRCT,
ITGA4_chr2_181534816_181534935_+	ITGA4	Gene	0.75	false	MATRISOME_SURFACEOME	Tier2	Spleen,	EWS,RB,OS,
MMP9_chr20_46011145_46011315_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	Spleen,Blood,	,OS,
COL11A2_chr6_33177009_33177045_-	COL11A2	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2	Pituitary,	OS,
ADAM19_chr5_157492973_157493177_-	ADAM19	Gene	0.25	false	MATRISOME_SURFACEOME	Tier2		RB,
FGF1_chr5_142595088_142595484_-	FGF1	Gene	0.25	false	MATRISOME	Not Prioritized	Nerve,Brain,	,LGG,
COL11A1_chr1_102974830_102974883_-	COL11A1	Gene	0.875	false	MATRISOME_SURFACEOME	Tier1		ACT,HGG,LGG,OS,CPC,
PDGFRA_chr4_54263667_54263776_+	PDGFRA	Gene	0.9375	false	SURFACEOME	Tier2	Uterus,Fallopian_Tube,Lung,Bladder,Ovary,	ST,BT,OS,HGG,DSRCT,LGG,
MMP9_chr20_46011145_46011318_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	Spleen,Blood,	,OS,
MMP9_chr20_46011574_46011747_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
IL13RA1_chrX_118761138_118761520_+	IL13RA1	Gene	0.875	false	SURFACEOME	Not Prioritized		ST,DSRCT,BT,MEL,WLM,
TNFAIP6_chr2_151366056_151366217_+	TNFAIP6	Gene	0.25	false	MATRISOME	Tier1	Testis,	,EWS,
COL2A1_chr12_47983683_47983736_-	COL2A1	Gene	0.375	false	MATRISOME	Tier2		CPC,WLM,
LAMA2_chr6_129146959_129147048_+	LAMA2	Gene	0.25	false	MATRISOME	Not Prioritized		MB,
MMP9_chr20_46011143_46011317_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	Spleen,Blood,	,OS,
SEMA3A_chr7_83977132_83977196_-	SEMA3A	Gene	0.1875	true	SURFACEOME	Tier1		MB,
COL20A1_chr20_63305881_63306039_+	COL20A1	Gene	0.5	false	MATRISOME	Tier1		HGG,DSRCT,LGG,
ADAM10_chr15_58682196_58682314_-	ADAM10	Gene	2.1875	true	MATRISOME_SURFACEOME	Tier2		DSRCT,OS,EPD,HGG,WLM,RHB,LGG,EWS,RB,ST,BT,MEL,MB,
BCAN_chr1_156648571_156648862_+	BCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
MERTK_chr2_111997323_111997476_+	MERTK	Gene	0.8125	false	SURFACEOME	Not Prioritized	Testis,Adrenal_Gland,	EWS,BT,DSRCT,
ASTN1_chr1_177164394_177164683_-	ASTN1	Gene	0.3125	false	SURFACEOME	Tier2		,DSRCT,
NAV2_chr11_20118133_20121601_+	NAV2	Gene	0.3125	false	MATRISOME	Tier2		EPD,
FRAS1_chr4_78265025_78265108_+	FRAS1	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		DSRCT,
DAG1_chr3_49510419_49510819_+	DAG1	Gene	1.125	false	MATRISOME_SURFACEOME	Tier2	Muscle,	BT,EPD,HGG,LGG,
MMP9_chr20_46011145_46011317_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	Spleen,Blood,	,OS,
MMP9_chr20_46011143_46011316_+	MMP9	Gene	0.25	false	MATRISOME	Tier2	Spleen,Blood,	,OS,
